sample,model,margin_source,mean,sd,skewness,kurtosis,ks_distance,cvm_distance,tail_abs_gt_1bp,tail_abs_gt_10bp,tail_abs_gt_25bp,tail_abs_gt_50bp,tail_abs_gt_100bp,mean_error_in_empirical_sd,sd_ratio_to_empirical,tail_50bp_ratio_to_empirical,tail_50bp_gate_applicable,stationary_margin_gate
training_2021_2023,MOU-UQML,theta_tau_kappa_lambda,0.0007657495490203584,0.0042405441426762855,0.0,3.0,0.4262854856264776,0.06035618720817813,0.9814903290998069,0.816533157211417,0.5618941009114775,0.2459815021320843,0.02027975899908702,0.7416463478866163,5.055058307126122,94.42059954828382,True,False
training_2021_2023,LatentNoiseOU-observed,state_space_implied_observed_margin,6.561018224435923e-05,0.0007502878355974096,0.0,3.0,0.207784508401922,0.0098168651816973,0.8943724594177804,0.184261706995836,0.0009017425399236672,3.136967494187423e-11,2.7958601670574484e-40,0.09297421095830462,0.8944014325667861,1.204132623784072e-08,True,False
validation_2024,Data,empirical,-4.7455154558856584e-05,0.0006180681475863517,-0.057599915700664604,4.401144869835267,0.0,0.0,0.8242846138483924,0.11041054463496049,0.0007037364602056051,0.0,0.0,,,,,
validation_2024,OUF,joint_transition_MLE,0.00012795479207079724,0.000825540296587185,0.0,3.0,0.18241036803551136,0.010125753186522521,0.904731446928053,0.23132690538455208,0.0027588786850585214,2.0616629259601207e-09,3.005231216563131e-33,0.2838035697433298,1.3356784358020113,0.00021679004165348458,False,False
validation_2024,MOU-Peg,theta_tau_kappa_lambda,0.0,0.0007389819929071605,0.0,3.0,0.10570244052161959,0.0033032079033140454,0.8923578492406194,0.17598761044314026,0.0007169018291709873,1.3233235577555048e-11,1.0105334868616807e-41,0.07677980938538256,1.1956318988334786,1.391514420686646e-06,False,True
validation_2024,MOU-IFM,theta_tau_kappa_lambda,6.713154816922092e-05,0.0007359264508641077,0.0,3.0,0.134448103569339,0.005231981197792562,0.8923596796394975,0.17599047736431148,0.0007164820743829541,1.3095316292845501e-11,8.806098877766767e-42,0.18539493286550304,1.1906882011927167,1.377011794141583e-06,False,True
validation_2024,MOU-UQML,theta_tau_kappa_lambda,0.0007657495490203584,0.0042405441426762855,0.0,3.0,0.43956593774594144,0.06143353985723277,0.9814903290998069,0.816533157211417,0.5618941009114775,0.2459815021320843,0.02027975899908702,1.3157201301424455,6.860965347002985,25865.69289369506,False,False
validation_2024,LatentNoiseOU-observed,state_space_implied_observed_margin,6.561018224435923e-05,0.0007502878355974096,0.0,3.0,0.13755335136330382,0.005443917763263419,0.8943724594177804,0.184261706995836,0.0009017425399236672,3.136967494187423e-11,2.7958601670574484e-40,0.18293344713645707,1.2139241255634925,3.2986154291629006e-06,False,True
test_2025,Data,empirical,-4.743941556329711e-05,0.00041394563535589364,-0.9416559771796958,7.46558638580846,0.0,0.0,0.7309169581502626,0.03537832505742306,0.00011436958531494525,2.8592396328736312e-05,0.0,,,,,
test_2025,OUF,joint_transition_MLE,0.00012795479207079724,0.000825540296587185,0.0,3.0,0.2955128495524616,0.024055535338354903,0.904731446928053,0.23132690538455208,0.0027588786850585214,2.0616629259601207e-09,3.005231216563131e-33,0.4237131464939775,1.994320572742406,7.210528639350458e-05,False,False
test_2025,MOU-Peg,theta_tau_kappa_lambda,0.0,0.0007389819929071605,0.0,3.0,0.21871580965629123,0.015041891776980251,0.8923578492406194,0.17598761044314026,0.0007169018291709873,1.3233235577555048e-11,1.0105334868616807e-41,0.11460300945681098,1.7852150857245148,4.628235921679361e-07,False,False
test_2025,MOU-IFM,theta_tau_kappa_lambda,6.713154816922092e-05,0.0007359264508641077,0.0,3.0,0.25004869616862135,0.017215463266973055,0.8923596796394975,0.17599047736431148,0.0007164820743829541,1.3095316292845501e-11,8.806098877766767e-42,0.27677780352488696,1.7778335800820513,4.579999571314095e-07,False,False
test_2025,MOU-UQML,theta_tau_kappa_lambda,0.0007657495490203584,0.0042405441426762855,0.0,3.0,0.49431454071298336,0.07052563012044794,0.9814903290998069,0.816533157211417,0.5618941009114775,0.2459815021320843,0.02027975899908702,1.9644825192673157,10.244205471644696,8603.039049401561,False,False
test_2025,LatentNoiseOU-observed,state_space_implied_observed_margin,6.561018224435923e-05,0.0007502878355974096,0.0,3.0,0.25243945545681556,0.01768315683658569,0.8943724594177804,0.184261706995836,0.0009017425399236672,3.136967494187423e-11,2.7958601670574484e-40,0.27310252398352,1.812527471034554,1.0971334679754232e-06,False,False
