window_days,start_utc,end_utc,nobs,theta,kappa,sigma,lambda,half_life_minutes,effective_half_life_minutes,conditional_mixed_loglik
90,2023-11-17 00:00:00+00:00,2024-02-15 00:00:00+00:00,25799,3.282658413164761e-05,1.3790654479736355,0.0008261635634722514,2.869783643209477,723.7741627657712,234.91819045246123,221202.00196871435
90,2023-12-17 00:00:00+00:00,2024-03-16 00:00:00+00:00,25795,0.00014720550342781416,1.3622824786881222,0.0010773764589824648,2.564021304657469,732.6908740450967,254.21668701238806,216024.30769044178
90,2024-01-16 00:00:00+00:00,2024-04-15 00:00:00+00:00,25756,0.00011995408245249661,1.506599954605812,0.001097468210696873,2.2288469958894113,662.506285729627,267.2054919355754,215444.5702897867
90,2024-02-15 00:00:00+00:00,2024-05-15 00:00:00+00:00,25820,0.00018766543050176713,1.7420768591908764,0.0010668463875938665,2.055937291382985,572.9551682753612,262.80363906898776,216802.2830719732
90,2024-03-16 00:00:00+00:00,2024-06-14 00:00:00+00:00,25813,-9.201750942323924e-05,1.49745392051037,0.0007722820264299875,2.3168484200456643,666.552690760683,261.6813904324158,223646.64564989615
90,2024-04-15 00:00:00+00:00,2024-07-14 00:00:00+00:00,25893,-0.00032060322275007493,0.8476936976048987,0.0006509465176136938,2.9141993294383357,1177.467690070689,265.3270395598758,228260.94208817123
90,2024-05-15 00:00:00+00:00,2024-08-13 00:00:00+00:00,25890,-0.0002622467717957773,0.8555088061809161,0.000672211426558803,3.1913171836500127,1166.7114736808967,246.645628577675,227604.06135315695
90,2024-06-14 00:00:00+00:00,2024-09-12 00:00:00+00:00,25897,-0.00012134356572900874,0.8403388084127785,0.0006582154254013863,2.88484775211602,1187.7732290997965,267.9414638134618,228872.21872376086
90,2024-07-14 00:00:00+00:00,2024-10-12 00:00:00+00:00,25876,3.194428265881742e-05,1.7028622638577815,0.0005968206262043521,3.6568965542832967,586.1495443237343,186.22702510940647,231106.84632098614
90,2024-08-13 00:00:00+00:00,2024-11-11 00:00:00+00:00,25880,-0.00011073650399898909,1.1171907169450244,0.0007016256492537045,2.4017833829360744,893.4302128250123,283.6428776330143,228113.21333533758
90,2024-09-12 00:00:00+00:00,2024-12-11 00:00:00+00:00,25878,6.627761874611526e-05,1.069290360383748,0.000953581042436792,2.2838102269637006,933.452668223915,297.674320827911,219216.48770598235
90,2024-10-12 00:00:00+00:00,2025-01-10 00:00:00+00:00,25908,-0.0001380457003572897,0.7943064033942105,0.0010561344705172985,2.1200791767792504,1256.6082002375008,342.4845177647748,216381.8313950843
