period,model,horizon_minutes,n_pairs,finite_score_coverage,mean_log_score,comparison_group,evaluation_error,density_evaluation,marginal,copula
training_2021_2023,FullyTimeVaryingMarginalCopula,1440,40000,1.0,5.720335256003204,log_price_density,,,,
validation_2024,FullyTimeVaryingMarginalCopula,5,40000,1.0,8.416411819389296,log_price_density,,,,
validation_2024,FullyTimeVaryingMarginalCopula,60,40000,1.0,7.352381559330371,log_price_density,,,,
validation_2024,FullyTimeVaryingMarginalCopula,360,40000,1.0,6.601255362497085,log_price_density,,,,
validation_2024,FullyTimeVaryingMarginalCopula,1440,40000,1.0,6.13404622468688,log_price_density,,,,
test_2025,FullyTimeVaryingMarginalCopula,5,40000,1.0,8.714724847549839,log_price_density,,,,
test_2025,FullyTimeVaryingMarginalCopula,60,40000,1.0,7.639151716813684,log_price_density,,,,
test_2025,FullyTimeVaryingMarginalCopula,360,40000,1.0,6.866333854716037,log_price_density,,,,
test_2025,FullyTimeVaryingMarginalCopula,1440,40000,1.0,6.382667505613655,log_price_density,,,,
training_2021_2023,MarkovSwitchingOU,5,40000,1.0,8.22610912006442,log_price_density,,exact gap-reset hidden-state filtered one-step predictive density,,
training_2021_2023,MarkovSwitchingOU,60,40000,1.0,7.1614682256387985,log_price_density,,stationary-regime endpoint mixture approximation,,
training_2021_2023,MarkovSwitchingOU,360,40000,1.0,6.854119861493478,log_price_density,,stationary-regime endpoint mixture approximation,,
training_2021_2023,MarkovSwitchingOU,1440,40000,1.0,6.4117063567439825,log_price_density,,stationary-regime endpoint mixture approximation,,
validation_2024,MarkovSwitchingOU,5,40000,1.0,8.824685843653045,log_price_density,,exact gap-reset hidden-state filtered one-step predictive density,,
validation_2024,MarkovSwitchingOU,60,40000,1.0,7.531708847248485,log_price_density,,stationary-regime endpoint mixture approximation,,
validation_2024,MarkovSwitchingOU,360,40000,1.0,6.823896566183664,log_price_density,,stationary-regime endpoint mixture approximation,,
validation_2024,MarkovSwitchingOU,1440,40000,1.0,6.332170255262182,log_price_density,,stationary-regime endpoint mixture approximation,,
test_2025,MarkovSwitchingOU,5,40000,1.0,9.06193324310432,log_price_density,,exact gap-reset hidden-state filtered one-step predictive density,,
test_2025,MarkovSwitchingOU,60,40000,1.0,7.930867847256482,log_price_density,,stationary-regime endpoint mixture approximation,,
test_2025,MarkovSwitchingOU,360,40000,1.0,7.240955853714941,log_price_density,,stationary-regime endpoint mixture approximation,,
test_2025,MarkovSwitchingOU,1440,40000,1.0,6.71379946461914,log_price_density,,stationary-regime endpoint mixture approximation,,
training_2021_2023,RandomWalk,5,40000,1.0,7.801817402879631,log_price_density,,,,
training_2021_2023,RandomWalk,60,40000,1.0,6.716214367570702,log_price_density,,,,
training_2021_2023,RandomWalk,360,40000,1.0,6.0333489003552225,log_price_density,,,,
training_2021_2023,RandomWalk,1440,40000,1.0,5.459725546207265,log_price_density,,,,
validation_2024,RandomWalk,5,40000,1.0,8.22076433120736,log_price_density,,,,
validation_2024,RandomWalk,60,40000,1.0,7.048467770606013,log_price_density,,,,
validation_2024,RandomWalk,360,40000,1.0,6.192184480364935,log_price_density,,,,
validation_2024,RandomWalk,1440,40000,1.0,5.52623372821818,log_price_density,,,,
test_2025,RandomWalk,5,40000,1.0,8.303645960575135,log_price_density,,,,
test_2025,RandomWalk,60,40000,1.0,7.105218010337958,log_price_density,,,,
test_2025,RandomWalk,360,40000,1.0,6.227716204504071,log_price_density,,,,
test_2025,RandomWalk,1440,40000,1.0,5.544176164939111,log_price_density,,,,
training_2021_2023,ExponentialTransformedOU,5,40000,1.0,7.795319682150264,log_price_density,,,,
training_2021_2023,ExponentialTransformedOU,60,40000,1.0,6.713274121758455,log_price_density,,,,
training_2021_2023,ExponentialTransformedOU,360,40000,1.0,6.027700539085793,log_price_density,,,,
training_2021_2023,ExponentialTransformedOU,1440,40000,1.0,5.44522369604945,log_price_density,,,,
validation_2024,ExponentialTransformedOU,5,40000,1.0,8.195587945579438,log_price_density,,,,
validation_2024,ExponentialTransformedOU,60,40000,1.0,7.0178345217806095,log_price_density,,,,
validation_2024,ExponentialTransformedOU,360,40000,1.0,6.156577279377998,log_price_density,,,,
validation_2024,ExponentialTransformedOU,1440,40000,1.0,5.481316928358839,log_price_density,,,,
test_2025,ExponentialTransformedOU,5,40000,1.0,8.258528189189086,log_price_density,,,,
test_2025,ExponentialTransformedOU,60,40000,1.0,7.055193468611742,log_price_density,,,,
test_2025,ExponentialTransformedOU,360,40000,1.0,6.173685943797069,log_price_density,,,,
test_2025,ExponentialTransformedOU,1440,40000,1.0,5.481504722762992,log_price_density,,,,
training_2021_2023,Normal_Gaussian,5,40000,1.0,7.881620687394851,log_price_density,,,Normal,Gaussian
training_2021_2023,Normal_Gaussian,60,40000,1.0,6.905141582078798,log_price_density,,,Normal,Gaussian
training_2021_2023,Normal_Gaussian,360,40000,1.0,6.192310307241798,log_price_density,,,Normal,Gaussian
training_2021_2023,Normal_Gaussian,1440,40000,1.0,5.772291446971887,log_price_density,,,Normal,Gaussian
validation_2024,Normal_Gaussian,5,40000,1.0,8.253958856569476,log_price_density,,,Normal,Gaussian
validation_2024,Normal_Gaussian,60,40000,1.0,7.10926329595665,log_price_density,,,Normal,Gaussian
validation_2024,Normal_Gaussian,360,40000,1.0,6.358244028015346,log_price_density,,,Normal,Gaussian
validation_2024,Normal_Gaussian,1440,40000,1.0,5.971264923621757,log_price_density,,,Normal,Gaussian
test_2025,Normal_Gaussian,5,40000,1.0,8.34840854788265,log_price_density,,,Normal,Gaussian
test_2025,Normal_Gaussian,60,40000,1.0,7.177380195672567,log_price_density,,,Normal,Gaussian
test_2025,Normal_Gaussian,360,40000,1.0,6.426601025042502,log_price_density,,,Normal,Gaussian
test_2025,Normal_Gaussian,1440,40000,1.0,6.090368666455685,log_price_density,,,Normal,Gaussian
