kappa,lambda,mean_loglik
0.6499909686439203,0.6461006755170664,8.81947270164092
0.6499909686439203,0.7382545393678304,8.819772475199773
0.6499909686439203,0.8435523836297413,8.820051953162766
0.6499909686439203,0.9638689448990682,8.820306239010874
0.6499909686439203,1.101346354974709,8.820529656463782
0.6499909686439203,1.2584322796530119,8.820715634391963
0.6499909686439203,1.4379234972898627,8.82085657466645
0.6499909686439203,1.6430156930084603,8.820943700474091
0.6499909686439203,1.8773603550953688,8.82096688231659
0.6499909686439203,2.1451297865757275,8.820914438560884
0.6499909686439203,2.451091389442208,8.820772907006376
0.6499909686439203,2.800692544103856,8.82052678347179
0.6499909686439203,3.200157595259617,8.820158222870592
0.6499909686439203,3.656598670945743,8.819646697629134
0.6499909686439203,4.178142307793895,8.818968607596924
0.6499909686439203,4.774074136952592,8.818096834795508
0.6499909686439203,5.455004206679104,8.817000235445175
0.6499909686439203,6.233055885026829,8.815643060690972
0.6499909686439203,7.122081705876312,8.813984296317594
0.6499909686439203,8.137910001260915,8.811976910492907
0.6499909686439203,9.298626711061289,8.809566997211045
0.6499909686439203,10.62489738744535,8.806692801620414
0.6499909686439203,12.140335127062933,8.80328361182696
0.6499909686439203,13.871920981708046,8.799258500075409
0.7041268104374783,0.2540730953940195,8.816795764881695
0.7041268104374783,0.29031174724552056,8.817148118806049
0.7041268104374783,0.33171914742898384,8.817499703443039
0.7041268104374783,0.37903251871496474,8.817848897187755
0.7041268104374783,0.4330942345562576,8.818193783363856
0.7041268104374783,0.49486681681506367,8.818532106120415
0.7041268104374783,0.5654500726281616,8.818861220026474
0.7041268104374783,0.6461006755170664,8.819178032394591
0.7041268104374783,0.7382545393678304,8.81947893719998
0.7041268104374783,0.8435523836297413,8.819759739282292
0.7041268104374783,0.9638689448990682,8.820015567324065
0.7041268104374783,1.101346354974709,8.82024077389271
0.7041268104374783,1.2584322796530119,8.820428820609028
0.7041268104374783,1.4379234972898627,8.82057214626003
0.7041268104374783,1.6430156930084603,8.82066201540148
0.7041268104374783,1.8773603550953688,8.820688344688078
0.7041268104374783,2.1451297865757275,8.820639503818954
0.7041268104374783,2.451091389442208,8.820502087583648
0.7041268104374783,2.800692544103856,8.820260655029703
0.7041268104374783,3.200157595259617,8.819897431238166
0.7041268104374783,3.656598670945743,8.819391966577822
0.7041268104374783,4.178142307793895,8.818720747605337
0.7041268104374783,4.774074136952592,8.817856752978498
0.7041268104374783,5.455004206679104,8.816768946847416
0.7041268104374783,6.233055885026829,8.815421701178341
0.7041268104374783,7.122081705876312,8.813774137341829
0.7041268104374783,8.137910001260915,8.811779376058217
0.7041268104374783,9.298626711061289,8.809383683437108
0.7041268104374783,10.62489738744535,8.806525499376788
0.7041268104374783,12.140335127062933,8.803134333012238
0.7041268104374783,13.871920981708046,8.799129508235007
0.7627714677501373,0.2540730953940195,8.816460885299366
0.7627714677501373,0.29031174724552056,8.81681321029806
0.7627714677501373,0.33171914742898384,8.817164859817844
0.7627714677501373,0.37903251871496474,8.817514220151262
0.7627714677501373,0.4330942345562576,8.817859383652767
0.7627714677501373,0.49486681681506367,8.818198104984512
0.7627714677501373,0.5654500726281616,8.818527751080756
0.7627714677501373,0.6461006755170664,8.81884524384865
0.7627714677501373,0.7382545393678304,8.819146994460459
0.7627714677501373,0.8435523836297413,8.819428827916113
0.7627714677501373,0.9638689448990682,8.819685896366598
0.7627714677501373,1.101346354974709,8.819912579486804
0.7627714677501373,1.2584322796530119,8.820102369967808
0.7627714677501373,1.4379234972898627,8.820247741958188
0.7627714677501373,1.6430156930084603,8.820340000015038
0.7627714677501373,1.8773603550953688,8.820369105820447
0.7627714677501373,2.1451297865757275,8.820323479569602
0.7627714677501373,2.451091389442208,8.820189772533986
0.7627714677501373,2.800692544103856,8.819952606837923
0.7627714677501373,3.200157595259617,8.819594277950566
0.7627714677501373,3.656598670945743,8.819094414779554
0.7627714677501373,4.178142307793895,8.818429591549974
0.7627714677501373,4.774074136952592,8.817572884855363
0.7627714677501373,5.455004206679104,8.816493368371132
0.7627714677501373,6.233055885026829,8.815155536718352
0.7627714677501373,7.122081705876312,8.813518648853448
0.7627714677501373,8.137910001260915,8.811535980132476
0.7627714677501373,9.298626711061289,8.809153970856121
0.7627714677501373,10.62489738744535,8.806311257646492
0.7627714677501373,12.140335127062933,8.802937572447584
0.7627714677501373,13.871920981708046,8.79895249229771
0.8263004666051704,0.2540730953940195,8.816108501386244
0.8263004666051704,0.29031174724552056,8.81645915773092
0.8263004666051704,0.33171914742898384,8.81680925936069
0.8263004666051704,0.37903251871496474,8.817157204965685
0.8263004666051704,0.4330942345562576,8.817501100064549
0.8263004666051704,0.49486681681506367,8.817838713480986
0.8263004666051704,0.5654500726281616,8.818167427574066
0.8263004666051704,0.6461006755170664,8.818484181232307
0.8263004666051704,0.7382545393678304,8.818785404479309
0.8263004666051704,0.8435523836297413,8.819066943364028
0.8263004666051704,0.9638689448990682,8.819323973623796
