period,model_mixed,marginal,copula_mixed,horizon_minutes,n_pairs_mixed,finite_score_coverage_mixed,mean_log_score_mixed,comparison_group_mixed,evaluation_error_mixed,copula_family,model_base,copula_base,n_pairs_base,finite_score_coverage_base,mean_log_score_base,comparison_group_base,evaluation_error_base,mixed_minus_base_log_score
training_2021_2023,Normal_SurvivalGumbelMixed,Normal,SurvivalGumbelMixed,360,40000,1.0,6.5545274951769255,log_price_density,,SurvivalGumbel,Normal_SurvivalGumbel,SurvivalGumbel,40000,1.0,5.697211465718939,log_price_density,,0.8573160294579862
training_2021_2023,Normal_SurvivalGumbelMixed,Normal,SurvivalGumbelMixed,1440,40000,1.0,5.664170199014531,log_price_density,,SurvivalGumbel,Normal_SurvivalGumbel,SurvivalGumbel,40000,1.0,5.654660119144913,log_price_density,,0.009510079869617272
validation_2024,Normal_SurvivalGumbelMixed,Normal,SurvivalGumbelMixed,5,40000,1.0,5.313750636101012,log_price_density,,SurvivalGumbel,Normal_SurvivalGumbel,SurvivalGumbel,40000,1.0,8.446547777349936,log_price_density,,-3.1327971412489246
validation_2024,Normal_SurvivalGumbelMixed,Normal,SurvivalGumbelMixed,60,40000,1.0,5.611540347727067,log_price_density,,SurvivalGumbel,Normal_SurvivalGumbel,SurvivalGumbel,40000,1.0,6.512985711258657,log_price_density,,-0.9014453635315895
validation_2024,Normal_SurvivalGumbelMixed,Normal,SurvivalGumbelMixed,360,40000,1.0,5.939437900703354,log_price_density,,SurvivalGumbel,Normal_SurvivalGumbel,SurvivalGumbel,40000,1.0,5.884952671006377,log_price_density,,0.054485229696977555
validation_2024,Normal_SurvivalGumbelMixed,Normal,SurvivalGumbelMixed,1440,40000,1.0,5.86663332861213,log_price_density,,SurvivalGumbel,Normal_SurvivalGumbel,SurvivalGumbel,40000,1.0,5.8666246859688815,log_price_density,,8.642643248180093e-06
test_2025,Normal_SurvivalGumbelMixed,Normal,SurvivalGumbelMixed,5,40000,1.0,5.863407559751323,log_price_density,,SurvivalGumbel,Normal_SurvivalGumbel,SurvivalGumbel,40000,1.0,8.546450190567533,log_price_density,,-2.6830426308162103
test_2025,Normal_SurvivalGumbelMixed,Normal,SurvivalGumbelMixed,60,40000,1.0,5.929533665457999,log_price_density,,SurvivalGumbel,Normal_SurvivalGumbel,SurvivalGumbel,40000,1.0,6.5438331913341345,log_price_density,,-0.6142995258761355
test_2025,Normal_SurvivalGumbelMixed,Normal,SurvivalGumbelMixed,360,40000,1.0,6.147768053637092,log_price_density,,SurvivalGumbel,Normal_SurvivalGumbel,SurvivalGumbel,40000,1.0,6.030677905322989,log_price_density,,0.11709014831410336
test_2025,Normal_SurvivalGumbelMixed,Normal,SurvivalGumbelMixed,1440,40000,1.0,6.027347399612919,log_price_density,,SurvivalGumbel,Normal_SurvivalGumbel,SurvivalGumbel,40000,1.0,6.027333631696754,log_price_density,,1.3767916165363658e-05
