theta,kappa,sigma
5.361605549275586e-05,1.8358562962109322,0.0011981695351310244
4.9899387818518366e-05,1.7797661234469235,0.0014820278119975928
4.1053189532535494e-05,1.7078216818854073,0.0012133440966373692
5.991320518965096e-05,1.6470855103840534,0.0015205916702458171
8.89295382424204e-05,1.54417988194739,0.0015753810022044346
5.1781508290515314e-05,2.055644309892355,0.001317089724854075
7.256176434217248e-05,1.7236634005171387,0.0011904814030427426
8.092924676444186e-05,1.7375829148629647,0.0014607853164566227
7.351585975543346e-05,1.6258471380555901,0.0013627333026983502
9.965551937485536e-05,1.3096104018689259,0.0013915574227082305
6.239337839748642e-05,1.3501780546331166,0.0014062944181023201
2.937497742262335e-05,2.066052299932572,0.001465366358487632
7.380651762147038e-05,1.564166615766995,0.0010890299511874676
7.651308452131805e-05,1.3362963384135667,0.0011830889610710163
7.312812992745009e-05,1.5302001751951209,0.001173119642173768
5.3199883698798846e-05,1.6806057784201545,0.0012162498590161928
7.928034668317402e-05,1.5628436478888652,0.0014247389933431398
5.244533338569383e-05,1.8396233705012872,0.0013126447647556349
4.015606217714186e-05,1.6158709508647666,0.0013062491087968257
6.49281040875148e-05,1.664322101952149,0.0012001929189263709
5.8614323878979244e-05,1.6278192745424311,0.0013482718125378372
6.201290178412012e-05,1.807953548391669,0.0016183205743512466
5.47861926256147e-05,1.7474339314810323,0.0011731251056440726
6.0874065192733157e-05,1.6167986949614512,0.0014522806964196084
8.128619024342151e-05,1.1148286954430784,0.0011982516091071519
5.1018765332325026e-05,1.471369837617202,0.001150243789211622
6.709845537843301e-05,1.788132920409809,0.0014714671852762051
4.825416517815867e-05,1.8741446544526394,0.0015118067160806922
7.217136735627711e-05,1.5424036215110286,0.001496178038634971
4.919361833610669e-05,1.6058338797884426,0.0011684482138296017
7.208253648086694e-05,1.4876905477229452,0.0013394358477016497
5.642443359614917e-05,1.7080919162109702,0.0013565962513843366
6.401431434951426e-05,1.6041738520767184,0.0015048693989031519
7.88545957039558e-05,1.6295617232912325,0.0011989108443769892
5.095395814783558e-05,1.8875947064002228,0.0014612562288862827
9.211778345985252e-05,1.4854787340941735,0.001332979069144628
9.058546146964288e-05,1.9634485502272734,0.001140957466049265
7.244766213058314e-05,1.68745340722944,0.0013590987551859316
8.136237644434626e-05,1.3799467680652318,0.0014485307646030965
7.243875986970682e-05,1.8851469592950238,0.0012758580536612412
6.177176903182584e-05,1.66424194010225,0.0012971724584747621
6.798202686511919e-05,1.5835228877491354,0.0013440671448722615
5.704057153900707e-05,2.00496586303986,0.001446094915205163
6.36891108152977e-05,1.743009988747073,0.0014213517025355624
6.946951226230547e-05,1.527933201470385,0.001145345939336915
7.993945570567715e-05,1.6893378864786917,0.0013872272229361476
7.983117597780334e-05,1.684057474020202,0.0012738915148047443
5.473435817063066e-05,1.8786551696773834,0.0013208307792381992
5.665588668632017e-05,1.8707831761914155,0.001393220653455621
6.818073728136592e-05,1.8553100655688133,0.0015347964016463565
8.542040966748808e-05,1.7251962361304376,0.0013610920930347016
7.488627335365942e-05,1.4133338563708846,0.0012151248478850835
5.711298010571435e-05,1.4746067123674058,0.001251128127094424
5.79467980853304e-05,1.856345774123134,0.0013876694974288405
6.689459057980595e-05,1.8594862410680952,0.001588147714874587
7.830074115382187e-05,1.7949433520426006,0.0013730705702249334
7.386766765118353e-05,1.3391474620913417,0.0011525872539911656
4.9422598353472424e-05,1.7370095867734767,0.0011985902141904779
8.198097043085165e-05,1.705688010346819,0.0011622205215790975
6.240202612688599e-05,1.6141409635921184,0.0013567762659700388
6.553454975403326e-05,1.6908440211619038,0.00145583494524472
5.7651655689843574e-05,1.947127279846169,0.0014594818303026132
4.5904114299523743e-05,1.959797680343624,0.001388946994191114
7.994250972804172e-05,1.5077900509755624,0.00124246368336161
4.497280016325746e-05,1.648348984527938,0.0011236575555530943
6.479674097111158e-05,1.7253144188752696,0.0015474673309101633
5.209641534373066e-05,1.5620005991325827,0.0013405132144180287
7.40842624295898e-05,1.480651874604806,0.0013364491824746838
7.697921727115732e-05,1.6981955043508972,0.0014644264401499128
6.443751945094132e-05,1.7852722912373016,0.0013066948181463674
9.105167861929606e-05,1.3296207432999674,0.0013415768916291157
6.754093628505195e-05,1.7469893451222198,0.001148686817351982
5.5764201867964426e-05,2.0232912961016667,0.0014456269416439549
6.464852272654145e-05,1.5992455162399417,0.001290286539106577
7.45333398080185e-05,1.7175406138512035,0.0012461314979058042
9.117362063336374e-05,1.5465334758862865,0.0011145450911769477
5.096325308023473e-05,1.6833852992660197,0.0012023286802046982
4.5743343508181236e-05,1.5657146313136119,0.0013242656321199155
0.00010684689241780675,1.3796191619614138,0.0012741010033561822
9.985486441257418e-05,1.4572022582306383,0.0013340477393590218
7.545583153453535e-05,1.473853224983579,0.0012460919670633373
7.610099324551346e-05,1.893524898011425,0.0014784620102205068
7.50234262519046e-05,2.00726013251358,0.0016961500746213278
9.180944253140838e-05,1.3612368126872918,0.0012197642739980748
4.5046472760918414e-05,1.8821542940592444,0.001325027032289019
6.65261684389291e-05,1.6602065232715417,0.0013215787004884638
5.250768497090281e-05,1.7461206635907855,0.00141547966488793
7.979287857362185e-05,1.5753439148588897,0.001226253441849185
5.552622967051906e-05,1.7318422748660516,0.0013439327412125294
5.383502267641602e-05,1.5554704611497638,0.0011758629115490823
5.2363385819883617e-05,2.002140121485401,0.001477478252384433
7.559840141826029e-05,1.6841784976300656,0.0013762433589015282
6.968904746971059e-05,1.5162511088453385,0.0011327027254642145
7.555418998412042e-05,1.8346300022564175,0.0013190427302147924
0.00010255846580146918,1.3983590715057421,0.0011446550538590234
6.672469190134761e-05,1.9356545889032604,0.0015471120313151577
6.43810051731563e-05,1.787976112856933,0.001319894694598266
6.046250615695426e-05,1.9682614309908804,0.001255982661474877
3.763897674737768e-05,1.7657852440714614,0.0012788328821050866
7.811364606362767e-05,1.9429686796532508,0.0017400893239188579
5.8050848790913573e-05,1.7658442904401805,0.0013659599874985744
7.776092488811866e-05,1.5380707595479874,0.0011170113123707716
5.3723525062151825e-05,1.8993776436649372,0.001454916393604957
5.795098159901605e-05,1.4832291241842757,0.0011971709090065053
5.2482696692480064e-05,1.8577678896007157,0.00122518955174008
4.2882255315043535e-05,1.574099562769092,0.0011872591330653163
5.6438944895143876e-05,1.9358323912614706,0.0012911817053658041
6.974685090763513e-05,1.520749341325206,0.0013092951595648817
8.810534818352818e-05,1.688300408848186,0.0014533146966570778
6.446763776455054e-05,1.7673770683744925,0.0012719584041284411
7.801469304445169e-05,1.4117345757531479,0.001351648704328571
6.80940654882522e-05,1.854904192982838,0.0012131355953741948
5.299582549750418e-05,1.8752393118387383,0.0013546752184734234
3.492326164536191e-05,2.0039377247412187,0.0013232800514497275
7.493294313341627e-05,1.7647136774342607,0.0012980271669238792
2.814895476626307e-05,2.075512514167186,0.001454234246308339
5.993510218694755e-05,1.7841041488022655,0.0015104491746786425
8.071113615121306e-05,1.267161434460531,0.0011245939193001687
4.50203183941648e-06,2.0292406194075565,0.001421670005162875
4.8001681916247485e-05,1.9342564321522366,0.001630438070789129
4.8869292405770776e-05,1.9450708849354963,0.0012721309731512402
7.248577889896014e-05,1.7371638574273875,0.0015669273520867353
8.391436496990251e-05,1.477367487010278,0.0012728149255371388
6.267360946493027e-05,1.627139907654522,0.0014973336151395103
1.5088287429414944e-05,1.7459904584117285,0.0013841199701717078
5.657451444396414e-05,1.903088659870755,0.0014634896054703417
6.051098035343541e-05,2.018764496679716,0.001345781488012682
