sample,x_grid,conditional_mean_128,drift_per_day_128,mean_abs_difference_64_128,mean_abs_difference_256_128,sign_match_anchor
baseline,-9.00040502430509e-05,-7.325253993538432e-05,0.004824434968607976,2.0618681652863845e-06,5.236212601483959e-07,True
baseline,-8.000320017064589e-05,-6.709416471617529e-05,0.0037178022108875323,1.9628794314708215e-06,6.276599005108961e-07,True
baseline,-6.000180007195222e-05,-5.453668943938547e-05,0.001573951862179224,1.740690897650343e-06,7.685826534532594e-07,True
baseline,-4.000080002137398e-05,-4.0665818193914805e-05,-0.00019152523369175768,1.5095702345842852e-06,7.476981957359386e-07,False
baseline,-2.000020000268671e-05,-2.6781994282700735e-05,-0.0019531567526440397,1.3251832916608086e-06,4.828929011347439e-07,False
baseline,-1.0000050000287824e-05,-1.860368551755743e-05,-0.002477847028973647,1.2263005929260366e-06,1.9991626937362626e-07,False
baseline,0.0,2.0968727487732496e-05,0.006038993516466959,5.528990378805297e-07,2.518979772492808e-06,False
baseline,0.0,2.0968727487732496e-05,0.006038993516466959,5.528990378805297e-07,2.518979772492808e-06,False
baseline,0.0,2.0968727487732496e-05,0.006038993516466959,5.528990378805297e-07,2.518979772492808e-06,False
baseline,0.0,2.0968727487732496e-05,0.006038993516466959,5.528990378805297e-07,2.518979772492808e-06,False
baseline,0.0,2.0968727487732496e-05,0.006038993516466959,5.528990378805297e-07,2.518979772492808e-06,False
baseline,0.0,2.0968727487732496e-05,0.006038993516466959,5.528990378805297e-07,2.518979772492808e-06,False
baseline,9.999950000398841e-06,2.722203489952097e-05,0.004959960450947173,5.673819357750395e-07,2.8728667362325924e-06,False
baseline,1.9999800002575608e-05,3.293612141476698e-05,0.0037256605667111147,6.019558141391772e-07,3.1224034275625576e-06,False
baseline,3.9999200021372696e-05,4.542767648662375e-05,0.001563401221992303,7.325995800497184e-07,3.426868251727667e-06,False
baseline,5.999820007194575e-05,5.792570574607365e-05,-0.0005968783658511655,9.127815083638017e-07,3.3999041278378974e-06,True
baseline,6.999755011434183e-05,6.425258756128873e-05,-0.0016545492152792917,1.0086047427424155e-06,3.2531835000113463e-06,True
baseline,8.999595024290707e-05,7.681753703811021e-05,-0.003795383002981497,1.160092058276552e-06,2.6617577560921065e-06,True
baseline,9.999500033329732e-05,0.00012343710267450174,0.006751325474266874,6.783846678465625e-07,1.1829412702119913e-06,False
baseline,9.999500033329732e-05,0.00012343710267450174,0.006751325474266874,6.783846678465625e-07,1.1829412702119913e-06,False
baseline,9.999500033329732e-05,0.00012343710267450174,0.006751325474266874,6.783846678465625e-07,1.1829412702119913e-06,False
baseline,9.999500033329732e-05,0.00012343710267450174,0.006751325474266874,6.783846678465625e-07,1.1829412702119913e-06,False
baseline,9.999500033329732e-05,0.00012343710267450174,0.006751325474266874,6.783846678465625e-07,1.1829412702119913e-06,False
baseline,9.999500033329732e-05,0.00012343710267450174,0.006751325474266874,6.783846678465625e-07,1.1829412702119913e-06,False
baseline,0.00010999395044368456,0.0001293505614518057,0.005574703970338889,6.170966767257723e-07,1.2437772982294725e-06,False
baseline,0.00012999155073222543,0.00014107835414395181,0.0031929993825771984,4.796363298673046e-07,1.1277044292868114e-06,False
baseline,0.00013999020091459962,0.00014748667335144503,0.002158984061811477,3.9889987256842016e-07,9.694443315108451e-07,False
baseline,0.0001599872013651075,0.00015962698424164539,-0.00010374253155708956,2.5633256414800583e-07,5.561902774131827e-07,True
baseline,0.00017998380194380657,0.0001714603922028119,-0.002454742005406462,1.7191159603190532e-07,8.47307099661348e-08,True
baseline,0.0001999800026662447,0.00022246158665138784,0.00647469618772122,1.2323962212480765e-06,8.501063426393863e-07,False
baseline,0.0001999800026662447,0.00022246158665138784,0.00647469618772122,1.2323962212480765e-06,8.501063426393863e-07,False
baseline,0.0001999800026662447,0.00022246158665138784,0.00647469618772122,1.2323962212480765e-06,8.501063426393863e-07,False
baseline,0.0001999800026662447,0.00022246158665138784,0.00647469618772122,1.2323962212480765e-06,8.501063426393863e-07,False
baseline,0.0001999800026662447,0.00022246158665138784,0.00647469618772122,1.2323962212480765e-06,8.501063426393863e-07,False
baseline,0.0001999800026662447,0.00022246158665138784,0.00647469618772122,1.2323962212480765e-06,8.501063426393863e-07,False
baseline,0.00021997580354885676,0.00023376877924283327,0.003972376999865234,1.5063761086930405e-06,7.761662953982356e-07,False
baseline,0.00023997120460718868,0.0002460576585266584,0.0017528987288072742,1.7719556636489856e-06,7.054006850431291e-07,False
baseline,0.00025996620585745146,0.0002582196498633687,-0.0005030081262958341,1.9789290901925578e-06,6.727092619153766e-07,True
baseline,0.000279960807315855,0.00026959970822859917,-0.00298399653712968,2.067868871605651e-06,6.799685700591292e-07,True
baseline,0.00029995500899794244,0.0003235576495350354,0.006797560474682766,6.678521956288283e-07,3.105291127514448e-07,False
baseline,0.00029995500899794244,0.0003235576495350354,0.006797560474682766,6.678521956288283e-07,3.105291127514448e-07,False
baseline,0.00029995500899794244,0.0003235576495350354,0.006797560474682766,6.678521956288283e-07,3.105291127514448e-07,False
baseline,0.00029995500899794244,0.0003235576495350354,0.006797560474682766,6.678521956288283e-07,3.105291127514448e-07,False
baseline,0.00029995500899794244,0.0003235576495350354,0.006797560474682766,6.678521956288283e-07,3.105291127514448e-07,False
baseline,0.00032994556197597747,0.00034058387367790627,0.0030638337701554934,1.5479946860046416e-06,7.813939502740322e-08,False
baseline,0.0003499387642879886,0.00035232035617258745,0.0006858984627644751,1.9179480798915466e-06,3.818253778203797e-08,False
baseline,0.00037992781828550236,0.00036794497382996614,-0.0034510592031944294,2.107426480634064e-06,1.329961811040968e-07,True
baseline,0.0003999200213268913,0.0004255776000858367,0.007389382682576273,1.1651954968103836e-07,7.437398103762524e-08,False
baseline,0.0003999200213268913,0.0004255776000858367,0.007389382682576273,1.1651954968103836e-07,7.437398103762524e-08,False
baseline,0.0003999200213268913,0.0004255776000858367,0.007389382682576273,1.1651954968103836e-07,7.437398103762524e-08,False
baseline,0.0003999200213268913,0.0004255776000858367,0.007389382682576273,1.1651954968103836e-07,7.437398103762524e-08,False
