period,model,marginal,copula,horizon_minutes,n_pairs,finite_score_coverage,mean_log_score,comparison_group,evaluation_error
validation_2024,Normal_GumbelMixed,Normal,GumbelMixed,5,40000,1.0,5.2569261740911895,log_price_density,
validation_2024,Normal_GumbelMixed,Normal,GumbelMixed,60,40000,1.0,5.58721546025703,log_price_density,
validation_2024,Normal_GumbelMixed,Normal,GumbelMixed,360,40000,1.0,5.935305527420401,log_price_density,
validation_2024,Normal_GumbelMixed,Normal,GumbelMixed,1440,40000,1.0,5.866628625658619,log_price_density,
test_2025,Normal_GumbelMixed,Normal,GumbelMixed,5,40000,1.0,5.810791136749898,log_price_density,
test_2025,Normal_GumbelMixed,Normal,GumbelMixed,60,40000,1.0,5.905863459942801,log_price_density,
test_2025,Normal_GumbelMixed,Normal,GumbelMixed,360,40000,1.0,6.143750400391219,log_price_density,
test_2025,Normal_GumbelMixed,Normal,GumbelMixed,1440,40000,1.0,6.027340461735654,log_price_density,
training_2021_2023,Normal_SurvivalGumbel,Normal,SurvivalGumbel,5,40000,1.0,7.9732707050374465,log_price_density,
training_2021_2023,Normal_SurvivalGumbel,Normal,SurvivalGumbel,60,40000,1.0,6.282709442846822,log_price_density,
training_2021_2023,Normal_SurvivalGumbel,Normal,SurvivalGumbel,360,40000,1.0,5.697211465718939,log_price_density,
training_2021_2023,Normal_SurvivalGumbel,Normal,SurvivalGumbel,1440,40000,1.0,5.654660119144913,log_price_density,
validation_2024,Normal_SurvivalGumbel,Normal,SurvivalGumbel,5,40000,1.0,8.446547777349936,log_price_density,
validation_2024,Normal_SurvivalGumbel,Normal,SurvivalGumbel,60,40000,1.0,6.512985711258657,log_price_density,
validation_2024,Normal_SurvivalGumbel,Normal,SurvivalGumbel,360,40000,1.0,5.884952671006377,log_price_density,
validation_2024,Normal_SurvivalGumbel,Normal,SurvivalGumbel,1440,40000,1.0,5.8666246859688815,log_price_density,
test_2025,Normal_SurvivalGumbel,Normal,SurvivalGumbel,5,40000,1.0,8.546450190567533,log_price_density,
test_2025,Normal_SurvivalGumbel,Normal,SurvivalGumbel,60,40000,1.0,6.5438331913341345,log_price_density,
test_2025,Normal_SurvivalGumbel,Normal,SurvivalGumbel,360,40000,1.0,6.030677905322989,log_price_density,
test_2025,Normal_SurvivalGumbel,Normal,SurvivalGumbel,1440,40000,1.0,6.027333631696754,log_price_density,
training_2021_2023,Normal_SurvivalGumbelMixed,Normal,SurvivalGumbelMixed,5,40000,1.0,7.562913387038419,log_price_density,
training_2021_2023,Normal_SurvivalGumbelMixed,Normal,SurvivalGumbelMixed,60,40000,1.0,7.436899837623428,log_price_density,
training_2021_2023,Normal_SurvivalGumbelMixed,Normal,SurvivalGumbelMixed,360,40000,1.0,6.5545274951769255,log_price_density,
training_2021_2023,Normal_SurvivalGumbelMixed,Normal,SurvivalGumbelMixed,1440,40000,1.0,5.664170199014531,log_price_density,
validation_2024,Normal_SurvivalGumbelMixed,Normal,SurvivalGumbelMixed,5,40000,1.0,5.313750636101012,log_price_density,
validation_2024,Normal_SurvivalGumbelMixed,Normal,SurvivalGumbelMixed,60,40000,1.0,5.611540347727067,log_price_density,
validation_2024,Normal_SurvivalGumbelMixed,Normal,SurvivalGumbelMixed,360,40000,1.0,5.939437900703354,log_price_density,
validation_2024,Normal_SurvivalGumbelMixed,Normal,SurvivalGumbelMixed,1440,40000,1.0,5.86663332861213,log_price_density,
test_2025,Normal_SurvivalGumbelMixed,Normal,SurvivalGumbelMixed,5,40000,1.0,5.863407559751323,log_price_density,
test_2025,Normal_SurvivalGumbelMixed,Normal,SurvivalGumbelMixed,60,40000,1.0,5.929533665457999,log_price_density,
test_2025,Normal_SurvivalGumbelMixed,Normal,SurvivalGumbelMixed,360,40000,1.0,6.147768053637092,log_price_density,
test_2025,Normal_SurvivalGumbelMixed,Normal,SurvivalGumbelMixed,1440,40000,1.0,6.027347399612919,log_price_density,
training_2021_2023,StudentT_Gaussian,StudentT,Gaussian,5,40000,1.0,7.853059623699293,log_price_density,
training_2021_2023,StudentT_Gaussian,StudentT,Gaussian,60,40000,1.0,7.4010956499276555,log_price_density,
training_2021_2023,StudentT_Gaussian,StudentT,Gaussian,360,40000,1.0,6.707976574873322,log_price_density,
training_2021_2023,StudentT_Gaussian,StudentT,Gaussian,1440,40000,1.0,6.252389081459089,log_price_density,
validation_2024,StudentT_Gaussian,StudentT,Gaussian,5,40000,1.0,8.43327821471806,log_price_density,
validation_2024,StudentT_Gaussian,StudentT,Gaussian,60,40000,1.0,7.347686325181947,log_price_density,
validation_2024,StudentT_Gaussian,StudentT,Gaussian,360,40000,1.0,6.582307750346254,log_price_density,
validation_2024,StudentT_Gaussian,StudentT,Gaussian,1440,40000,1.0,6.085540948156933,log_price_density,
test_2025,StudentT_Gaussian,StudentT,Gaussian,5,40000,1.0,8.702820145393922,log_price_density,
test_2025,StudentT_Gaussian,StudentT,Gaussian,60,40000,1.0,7.64830041462924,log_price_density,
test_2025,StudentT_Gaussian,StudentT,Gaussian,360,40000,1.0,6.886985897286242,log_price_density,
test_2025,StudentT_Gaussian,StudentT,Gaussian,1440,40000,1.0,6.4719608152307595,log_price_density,
training_2021_2023,StudentT_GaussianMixed,StudentT,GaussianMixed,5,40000,1.0,7.866451036843398,log_price_density,
training_2021_2023,StudentT_GaussianMixed,StudentT,GaussianMixed,60,40000,1.0,7.468856405129004,log_price_density,
training_2021_2023,StudentT_GaussianMixed,StudentT,GaussianMixed,360,40000,1.0,6.768933502172614,log_price_density,
training_2021_2023,StudentT_GaussianMixed,StudentT,GaussianMixed,1440,40000,1.0,6.293720264570324,log_price_density,
validation_2024,StudentT_GaussianMixed,StudentT,GaussianMixed,5,40000,1.0,8.511625495597377,log_price_density,
validation_2024,StudentT_GaussianMixed,StudentT,GaussianMixed,60,40000,1.0,7.40676181395395,log_price_density,
validation_2024,StudentT_GaussianMixed,StudentT,GaussianMixed,360,40000,1.0,6.639096880318768,log_price_density,
validation_2024,StudentT_GaussianMixed,StudentT,GaussianMixed,1440,40000,1.0,6.130276284142563,log_price_density,
test_2025,StudentT_GaussianMixed,StudentT,GaussianMixed,5,40000,1.0,8.751312039901043,log_price_density,
test_2025,StudentT_GaussianMixed,StudentT,GaussianMixed,60,40000,1.0,7.72245174465014,log_price_density,
test_2025,StudentT_GaussianMixed,StudentT,GaussianMixed,360,40000,1.0,6.94959632665329,log_price_density,
test_2025,StudentT_GaussianMixed,StudentT,GaussianMixed,1440,40000,1.0,6.505502800201704,log_price_density,
training_2021_2023,StudentT_StudentT,StudentT,StudentT,5,40000,1.0,8.020816408518419,log_price_density,
training_2021_2023,StudentT_StudentT,StudentT,StudentT,60,40000,1.0,7.662654517313589,log_price_density,
training_2021_2023,StudentT_StudentT,StudentT,StudentT,360,40000,1.0,7.136656426198323,log_price_density,
training_2021_2023,StudentT_StudentT,StudentT,StudentT,1440,40000,1.0,6.683408909618404,log_price_density,
validation_2024,StudentT_StudentT,StudentT,StudentT,5,40000,1.0,8.781202083065782,log_price_density,
validation_2024,StudentT_StudentT,StudentT,StudentT,60,40000,1.0,7.629835721195758,log_price_density,
validation_2024,StudentT_StudentT,StudentT,StudentT,360,40000,1.0,6.928186756340513,log_price_density,
validation_2024,StudentT_StudentT,StudentT,StudentT,1440,40000,1.0,6.450744421354252,log_price_density,
