asset,frequency_minutes,price_proxy,period,start_utc,end_utc,observations,theoretical_bars,bar_coverage,exact_pairs,exact_pair_share_of_adjacent,tie_count,tie_rate,min_nonzero_price_change,p01_nonzero_price_change,modal_nonzero_price_change,zero_volume_rate,one_trade_or_less_rate,continuous_segments,median_segment_bars,p90_segment_bars,max_segment_bars
USDT,1,ohlc_average,2025,2025-01-01 00:00:00+00:00,2025-12-31 23:59:00+00:00,516188,525600,0.9820928462709284,508770,0.9856311762985119,98462,0.19352949269807576,1.1102230246251565e-16,1.1102230246251565e-16,2.5e-06,0.0,0.03546963509419049,7418,13.0,132.0,5924
USDT,1,typical_price,2025,2025-01-01 00:00:00+00:00,2025-12-31 23:59:00+00:00,516188,525600,0.9820928462709284,508770,0.9856311762985119,122642,0.24105587986713053,1.1102230246251565e-16,2.220446049250313e-16,3.3333e-06,0.0,0.03546963509419049,7418,13.0,132.0,5924
USDC,1,close,full,2020-01-08 15:17:00+00:00,2025-12-31 23:59:00+00:00,1999855,3145483,0.6357863005458939,1564468,0.7822911072508293,927441,0.592815576924552,9.999000000004976e-05,9.999999999998899e-05,0.0001,0.0,0.27151218463338594,435387,2.0,9.0,5073
USDC,1,ohlc_average,full,2020-01-08 15:17:00+00:00,2025-12-31 23:59:00+00:00,1999855,3145483,0.6357863005458939,1564468,0.7822911072508293,513031,0.32792680962474147,1.1102230246251565e-16,1.1102230246251565e-16,5e-05,0.0,0.27151218463338594,435387,2.0,9.0,5073
USDC,1,typical_price,full,2020-01-08 15:17:00+00:00,2025-12-31 23:59:00+00:00,1999855,3145483,0.6357863005458939,1564468,0.7822911072508293,588251,0.37600705159837083,1.1102230246251565e-16,3.333333333310762e-05,3.33333e-05,0.0,0.27151218463338594,435387,2.0,9.0,5073
USDC,1,close,2020,2020-01-08 15:17:00+00:00,2020-12-31 23:58:00+00:00,171098,516042,0.33155828401564214,94538,0.5525403718358592,53180,0.5625251221730945,9.999000000004976e-05,9.999999999998899e-05,0.0001,0.0,0.39853183555623095,76560,1.0,4.0,115
USDC,1,ohlc_average,2020,2020-01-08 15:17:00+00:00,2020-12-31 23:58:00+00:00,171098,516042,0.33155828401564214,94538,0.5525403718358592,36974,0.3911019907338848,1.1102230246251565e-16,1.1102230246251565e-16,5e-05,0.0,0.39853183555623095,76560,1.0,4.0,115
USDC,1,typical_price,2020,2020-01-08 15:17:00+00:00,2020-12-31 23:58:00+00:00,171098,516042,0.33155828401564214,94538,0.5525403718358592,37673,0.3984958429414627,1.1102230246251565e-16,3.333333333310762e-05,3.33333e-05,0.0,0.39853183555623095,76560,1.0,4.0,115
USDC,1,close,2021,2021-01-01 00:00:00+00:00,2021-12-31 23:59:00+00:00,412560,525600,0.7849315068493151,343844,0.8334420046587276,201338,0.5855504240295017,9.999999999998899e-05,9.999999999998899e-05,0.0001,0.0,0.21726536746170255,68716,3.0,13.0,524
USDC,1,ohlc_average,2021,2021-01-01 00:00:00+00:00,2021-12-31 23:59:00+00:00,412560,525600,0.7849315068493151,343844,0.8334420046587276,111754,0.32501366898942546,1.1102230246251565e-16,1.1102230246251565e-16,5e-05,0.0,0.21726536746170255,68716,3.0,13.0,524
USDC,1,typical_price,2021,2021-01-01 00:00:00+00:00,2021-12-31 23:59:00+00:00,412560,525600,0.7849315068493151,343844,0.8334420046587276,122054,0.35496911390048974,1.1102230246251565e-16,3.333333333310762e-05,3.33333e-05,0.0,0.21726536746170255,68716,3.0,13.0,524
USDC,1,close,2022,2022-01-01 00:00:00+00:00,2022-12-31 23:59:00+00:00,350335,525600,0.66654299847793,260251,0.7428653798946149,163106,0.6267257378453878,9.999999999998899e-05,9.999999999998899e-05,0.0001,0.0,0.3318823411877203,90084,2.0,8.0,1006
USDC,1,ohlc_average,2022,2022-01-01 00:00:00+00:00,2022-12-31 23:59:00+00:00,350335,525600,0.66654299847793,260251,0.7428653798946149,101548,0.39019254488935684,1.1102230246251565e-16,1.1102230246251565e-16,5e-05,0.0,0.3318823411877203,90084,2.0,8.0,1006
USDC,1,typical_price,2022,2022-01-01 00:00:00+00:00,2022-12-31 23:59:00+00:00,350335,525600,0.66654299847793,260251,0.7428653798946149,107719,0.4139042693399833,2.220446049250313e-16,3.333333333310762e-05,3.33333e-05,0.0,0.3318823411877203,90084,2.0,8.0,1006
USDC,1,close,2023,2023-01-01 00:00:00+00:00,2023-12-31 23:58:00+00:00,307151,525599,0.5843827708956828,207050,0.6741006023115742,123340,0.5957015213716493,9.999999999998899e-05,9.999999999998899e-05,0.0001,0.0,0.38456980442844074,100101,2.0,6.0,1052
USDC,1,ohlc_average,2023,2023-01-01 00:00:00+00:00,2023-12-31 23:58:00+00:00,307151,525599,0.5843827708956828,207050,0.6741006023115742,75433,0.3643226273846897,1.1102230246251565e-16,1.1102230246251565e-16,5e-05,0.0,0.38456980442844074,100101,2.0,6.0,1052
USDC,1,typical_price,2023,2023-01-01 00:00:00+00:00,2023-12-31 23:58:00+00:00,307151,525599,0.5843827708956828,207050,0.6741006023115742,79782,0.3853272156483941,1.1102230246251565e-16,3.333333333310762e-05,3.33333e-05,0.0,0.38456980442844074,100101,2.0,6.0,1052
USDC,1,close,2024,2024-01-01 00:00:00+00:00,2024-12-31 23:59:00+00:00,384600,527040,0.729735883424408,300451,0.7812058793704612,172781,0.5750721415472073,9.999999999998899e-05,9.999999999998899e-05,0.0001,0.0,0.3062402496099844,84149,2.0,9.0,1066
USDC,1,ohlc_average,2024,2024-01-01 00:00:00+00:00,2024-12-31 23:59:00+00:00,384600,527040,0.729735883424408,300451,0.7812058793704612,92236,0.3069918222938183,1.1102230246251565e-16,1.1102230246251565e-16,5e-05,0.0,0.3062402496099844,84149,2.0,9.0,1066
USDC,1,typical_price,2024,2024-01-01 00:00:00+00:00,2024-12-31 23:59:00+00:00,384600,527040,0.729735883424408,300451,0.7812058793704612,103230,0.34358347950248125,1.1102230246251565e-16,3.333333333310762e-05,3.33333e-05,0.0,0.3062402496099844,84149,2.0,9.0,1066
USDC,1,close,2025,2025-01-01 00:00:00+00:00,2025-12-31 23:59:00+00:00,374111,525600,0.7117789193302891,358331,0.9578225655555852,213694,0.5963592321066277,9.999999999998899e-05,9.999999999998899e-05,0.0001,0.0,0.08818505737601942,15780,6.0,43.100000000000364,5073
USDC,1,ohlc_average,2025,2025-01-01 00:00:00+00:00,2025-12-31 23:59:00+00:00,374111,525600,0.7117789193302891,358331,0.9578225655555852,95086,0.26535800698237105,1.1102230246251565e-16,1.1102230246251565e-16,2.5e-05,0.0,0.08818505737601942,15780,6.0,43.100000000000364,5073
USDC,1,typical_price,2025,2025-01-01 00:00:00+00:00,2025-12-31 23:59:00+00:00,374111,525600,0.7117789193302891,358331,0.9578225655555852,137792,0.3845383179239307,1.1102230246251565e-16,3.333333333321864e-05,3.33333e-05,0.0,0.08818505737601942,15780,6.0,43.100000000000364,5073
DAI,1,close,full,2019-09-25 14:10:00+00:00,2025-12-31 22:55:00+00:00,882474,3296686,0.26768518445493444,525500,0.5954856409204587,138683,0.26390675547098,9.989999999904242e-06,9.999999999843467e-06,1e-05,0.0,0.27622683501156975,356974,1.0,5.0,300
DAI,1,ohlc_average,full,2019-09-25 14:10:00+00:00,2025-12-31 22:55:00+00:00,882474,3296686,0.26768518445493444,525500,0.5954856409204587,60109,0.11438439581351094,1.1102230246251565e-16,2.220446049250313e-16,5e-06,0.0,0.27622683501156975,356974,1.0,5.0,300
DAI,1,typical_price,full,2019-09-25 14:10:00+00:00,2025-12-31 22:55:00+00:00,882474,3296686,0.26768518445493444,525500,0.5954856409204587,63188,0.12024357754519505,1.1102230246251565e-16,3.333333333133126e-06,3.3333e-06,0.0,0.27622683501156975,356974,1.0,5.0,300
DAI,1,close,2019,2019-09-25 14:10:00+00:00,2019-12-31 23:45:00+00:00,8829,140256,0.06294917864476386,2765,0.3132079746261894,903,0.3265822784810127,9.999999999843467e-06,9.999999999843467e-06,1e-05,0.0,0.4783101143957413,6064,1.0,2.0,34
DAI,1,ohlc_average,2019,2019-09-25 14:10:00+00:00,2019-12-31 23:45:00+00:00,8829,140256,0.06294917864476386,2765,0.3132079746261894,650,0.23508137432188064,1.1102230246251565e-16,2.5000000001274003e-06,1e-05,0.0,0.4783101143957413,6064,1.0,2.0,34
DAI,1,typical_price,2019,2019-09-25 14:10:00+00:00,2019-12-31 23:45:00+00:00,8829,140256,0.06294917864476386,2765,0.3132079746261894,652,0.23580470162748643,1.1102230246251565e-16,3.3333333333551707e-06,1e-05,0.0,0.4783101143957413,6064,1.0,2.0,34
DAI,1,close,2020,2020-01-01 01:14:00+00:00,2020-12-31 23:58:00+00:00,67881,526965,0.1288150066892488,21909,0.32276075427224515,7201,0.3286777123556529,9.989999999904242e-06,9.999999999843467e-06,1e-05,0.0,0.47836655323286337,45972,1.0,2.0,34
DAI,1,ohlc_average,2020,2020-01-01 01:14:00+00:00,2020-12-31 23:58:00+00:00,67881,526965,0.1288150066892488,21909,0.32276075427224515,5291,0.2414989273814414,1.1102230246251565e-16,4.999999999810711e-06,1e-05,0.0,0.47836655323286337,45972,1.0,2.0,34
DAI,1,typical_price,2020,2020-01-01 01:14:00+00:00,2020-12-31 23:58:00+00:00,67881,526965,0.1288150066892488,21909,0.32276075427224515,5275,0.24076863389474645,1.1102230246251565e-16,3.3333333333551707e-06,1e-05,0.0,0.47836655323286337,45972,1.0,2.0,34
DAI,1,close,2021,2021-01-01 00:00:00+00:00,2021-12-31 23:53:00+00:00,256950,525594,0.4888754437836048,168587,0.6561107457121841,36113,0.21420987383368825,9.999999999843467e-06,9.999999999843467e-06,1e-05,0.0,0.2326328079392878,88363,2.0,6.0,294
