refit_utc,fit_start_utc,fit_end_exclusive_utc,forecast_end_exclusive_utc,model,theta,kappa,sigma,lambda,slow_mean,rw_step_sd,fit_nobs,no_lookahead
2024-08-28 00:00:00+00:00,2023-08-29 00:00:00+00:00,2024-08-28 00:00:00+00:00,2024-09-27 00:00:00+00:00,MOUF,1.5699771596141418e-05,1.2202883128719237,0.0008017744130354846,2.5561090382356384,,,104882,True
2024-09-27 00:00:00+00:00,2023-09-28 00:00:00+00:00,2024-09-27 00:00:00+00:00,2024-10-27 00:00:00+00:00,RandomWalk,0.0,0.0,0.0,0.0,,4.7062348889624565e-05,104874,True
2024-09-27 00:00:00+00:00,2023-09-28 00:00:00+00:00,2024-09-27 00:00:00+00:00,2024-10-27 00:00:00+00:00,NestedOU_proxy,2.686096699365537e-05,1.598338667276421,0.0007996846661687429,0.0,4.598637744297294e-05,,104874,True
2024-09-27 00:00:00+00:00,2023-09-28 00:00:00+00:00,2024-09-27 00:00:00+00:00,2024-10-27 00:00:00+00:00,OUF,3.115456929509078e-05,1.2491502226063793,0.0007991732410890297,0.0,,,104874,True
2024-09-27 00:00:00+00:00,2023-09-28 00:00:00+00:00,2024-09-27 00:00:00+00:00,2024-10-27 00:00:00+00:00,MOUF,3.115456929509078e-05,1.2491502226063793,0.0007991732410890297,2.4080717604091997,,,104874,True
2024-10-27 00:00:00+00:00,2023-10-28 00:00:00+00:00,2024-10-27 00:00:00+00:00,2024-11-26 00:00:00+00:00,RandomWalk,0.0,0.0,0.0,0.0,,4.8116843114761984e-05,104865,True
2024-10-27 00:00:00+00:00,2023-10-28 00:00:00+00:00,2024-10-27 00:00:00+00:00,2024-11-26 00:00:00+00:00,NestedOU_proxy,-2.7269187117667494e-05,1.680224313306384,0.0008176638536868501,0.0,-0.0004582925365229448,,104865,True
2024-10-27 00:00:00+00:00,2023-10-28 00:00:00+00:00,2024-10-27 00:00:00+00:00,2024-11-26 00:00:00+00:00,OUF,-1.5997859794381273e-05,1.203844393105782,0.0008170749735206445,0.0,,,104865,True
2024-10-27 00:00:00+00:00,2023-10-28 00:00:00+00:00,2024-10-27 00:00:00+00:00,2024-11-26 00:00:00+00:00,MOUF,-1.5997859794381273e-05,1.203844393105782,0.0008170749735206445,2.304023569451372,,,104865,True
2024-11-26 00:00:00+00:00,2023-11-27 00:00:00+00:00,2024-11-26 00:00:00+00:00,2024-12-26 00:00:00+00:00,RandomWalk,0.0,0.0,0.0,0.0,,5.064578754299682e-05,104865,True
