replication,initialization,null_loglik,alternative_loglik,lr,theta_null,kappa_null,sigma_null,theta_alt,kappa_alt,sigma_alt,lambda_alt,alternative_converged,alternative_gradient_norm,ifm_loglik,ifm_theta,ifm_tau,ifm_kappa,ifm_lambda,ifm_converged,ifm_gradient_norm,fit_failed
15,stationary_initial,201686.86195395488,201686.86195395488,0.0,-3.713606431996015e-05,3.1110720889751216,0.001294615772487412,-3.713606431996015e-05,3.1110720889751216,0.001294615772487412,0.0,True,0.5211514862583381,201686.52833813193,-7.303679184556759e-05,0.000515759769510014,3.150420090804339,1.522997974471263e-08,True,1.7763568501960078e-07,False
16,stationary_initial,201766.59783906006,201766.59783906006,0.0,-5.584366934131251e-05,2.7402513832309716,0.0012896655342172362,-5.584415302885033e-05,2.7402513832309716,0.0012896655342172357,0.0,True,0.6580714678242169,201766.3577758673,-2.135835106743691e-05,0.0005538924717467836,2.710703272351875,1.522997974471263e-08,True,1.776356830474485e-07,False
17,stationary_initial,201818.08570928624,201818.0857092863,1.1641532182693481e-10,-5.7167325065358335e-05,3.246805434240856,0.0012881405975086722,-5.716758049051371e-05,3.2468054342435266,0.0012881405975092017,0.0,True,0.6519609824917378,201817.97267819155,-5.7658213038337604e-05,0.0005157181499287692,3.1194381888056757,1.522997974471263e-08,True,0.0,False
18,stationary_initial,201492.51592784387,201492.51592784387,0.0,-2.4977915017858427e-05,2.5405901780787343,0.0013034317717703,-2.497805723193292e-05,2.5405901780787343,0.0013034317717703,0.0,True,0.7015582810685471,201492.3276967358,-5.816502339024247e-05,0.0005750746398448264,2.5686484359405335,1.522997974471263e-08,True,0.0,False
19,stationary_initial,201712.80427348125,201712.80427348125,0.0,-2.8175942389850577e-05,2.7151100679835176,0.0012923873168251623,-2.817594242883751e-05,2.715110067983517,0.0012923873168251623,0.0,True,0.7118968567149554,201712.75555059666,-1.4339438894985277e-05,0.0005506526124421477,2.7542375692157224,1.522997974471263e-08,True,0.0,False
20,stationary_initial,201719.86828414255,201719.86828414255,0.0,-4.789066367465056e-05,2.534548319389471,0.0012916184674348558,-4.789066367465056e-05,2.534548319389471,0.0012916184674348558,0.0,True,0.7049250097522779,201719.86092194184,-4.375747398979663e-05,0.000571088462064367,2.5575955248303543,1.522997974471263e-08,True,0.0,False
21,stationary_initial,201599.19277315243,201599.19277315243,0.0,-3.1623816553190583e-06,2.7473925059499424,0.001298346419752463,-3.1623816553190583e-06,2.7473925059499424,0.001298346419752463,0.0,True,0.6361046838911133,201599.05020615715,7.790039465063814e-06,0.0005664032501303815,2.62727330772327,1.522997974471263e-08,True,0.0,False
22,stationary_initial,201558.90418717702,201558.90418717705,5.820766091346741e-11,-7.690975006869877e-05,2.8090026856029895,0.0013005791062508038,-7.691016761875249e-05,2.8090026856029895,0.0013005791062508038,0.0,True,0.6471198730822548,201558.19043226782,-3.439987110160419e-05,0.0005698152371209466,2.604963734020884,1.522997974471263e-08,True,0.0,False
23,stationary_initial,201620.56034423408,201620.5603442341,5.820766091346741e-11,-0.00015088310639585492,2.559743445161229,0.0012968159463916076,-0.00015088312368947797,2.559743445161345,0.0012968159463916074,0.0,True,0.7221617113823834,201620.45525941296,-0.00012740817445370438,0.0005773518362593755,2.522606994343703,1.522997974471263e-08,True,3.55271366094897e-07,False
24,stationary_initial,201771.9537624214,201771.95376242144,5.820766091346741e-11,-6.496203690742717e-05,3.0862959751098655,0.0012901615178690757,-6.496222272955357e-05,3.0862959751088397,0.0012901615178690757,0.0,True,0.6389298051320893,201771.63667145645,-3.001666072783691e-05,0.0005230224923762967,3.042489079392805,1.522997974471263e-08,True,1.7763568501960078e-07,False
