period,model,horizon_minutes,nobs,MAE,RMSE,NLS,CRPS,direction_accuracy,threshold,Brier,event_log_score,AUC
validation_2024,NestedOU_proxy,360,104909,0.00022168554519950333,0.00030550815487732084,-6.632299460165798,0.00016949549549812775,0.5353592160825096,0.01,1.0000000000000001e-24,1.0000000000005004e-12,
validation_2024,OUF,360,104909,0.00019550685708896113,0.00027785105742532027,-6.6805665818744115,0.0001570290536335576,0.5388956142942931,0.001,0.05633111176162265,0.19386160618876488,0.9297887527841493
validation_2024,OUF,360,104909,0.00019550685708896113,0.00027785105742532027,-6.6805665818744115,0.0001570290536335576,0.5388956142942931,0.0025,0.0006659445711858201,0.004141184777765542,0.9545336365124603
validation_2024,OUF,360,104909,0.00019550685708896113,0.00027785105742532027,-6.6805665818744115,0.0001570290536335576,0.5388956142942931,0.005,4.493307933659185e-14,1.521299611587819e-09,
validation_2024,OUF,360,104909,0.00019550685708896113,0.00027785105742532027,-6.6805665818744115,0.0001570290536335576,0.5388956142942931,0.01,1.0000000000000001e-24,1.0000000000005004e-12,
validation_2024,MOUF,360,104909,0.00027710510356410834,0.0003823483688443672,-6.487248080708966,0.00020205240078278265,0.5388956142942931,0.001,0.06933420059116334,0.2359196620752901,0.9021012026284577
validation_2024,MOUF,360,104909,0.00027710510356410834,0.0003823483688443672,-6.487248080708966,0.00020205240078278265,0.5388956142942931,0.0025,0.0006429756391974249,0.004227379094579492,0.917895238205726
validation_2024,MOUF,360,104909,0.00027710510356410834,0.0003823483688443672,-6.487248080708966,0.00020205240078278265,0.5388956142942931,0.005,2.4540573155998632e-14,1.0729087610859678e-08,
validation_2024,MOUF,360,104909,0.00027710510356410834,0.0003823483688443672,-6.487248080708966,0.00020205240078278265,0.5388956142942931,0.01,1.0000000000000001e-24,1.0000000000005004e-12,
validation_2024,RandomWalk,1440,104898,0.00029405434105046085,0.0003964806309497578,-6.017729123309711,0.0002736433609551779,0.013441629011039295,0.001,0.13210947250645863,0.4382333188761611,0.8436155283663019
validation_2024,RandomWalk,1440,104898,0.00029405434105046085,0.0003964806309497578,-6.017729123309711,0.0002736433609551779,0.013441629011039295,0.0025,0.003641437513733541,0.03047669333962874,0.9418953964369841
validation_2024,RandomWalk,1440,104898,0.00029405434105046085,0.0003964806309497578,-6.017729123309711,0.0002736433609551779,0.013441629011039295,0.005,1.118828204689081e-06,8.839284235314224e-05,
validation_2024,RandomWalk,1440,104898,0.00029405434105046085,0.0003964806309497578,-6.017729123309711,0.0002736433609551779,0.013441629011039295,0.01,2.3407404085000032e-21,1.510175968258193e-12,
validation_2024,NestedOU_proxy,1440,104898,0.0004151213918432552,0.0005554866955802423,-6.009614061894645,0.00030922570927057564,0.5548723521897462,0.001,0.09790117788139494,0.35224949980339143,0.6378991707390913
validation_2024,NestedOU_proxy,1440,104898,0.0004151213918432552,0.0005554866955802423,-6.009614061894645,0.00030922570927057564,0.5548723521897462,0.0025,0.000689929081100253,0.004911921597042022,0.91194005665019
validation_2024,NestedOU_proxy,1440,104898,0.0004151213918432552,0.0005554866955802423,-6.009614061894645,0.00030922570927057564,0.5548723521897462,0.005,4.4602125699084257e-17,3.3420518202508896e-10,
validation_2024,NestedOU_proxy,1440,104898,0.0004151213918432552,0.0005554866955802423,-6.009614061894645,0.00030922570927057564,0.5548723521897462,0.01,1.0000000000000001e-24,1.0000000000005004e-12,
validation_2024,OUF,1440,104898,0.00034563166456553194,0.00047634330107409784,-6.182976314054893,0.000267721027157363,0.5682567827794619,0.001,0.09801440186051857,0.3351787143654599,0.7202539732286555
validation_2024,OUF,1440,104898,0.00034563166456553194,0.00047634330107409784,-6.182976314054893,0.000267721027157363,0.5682567827794619,0.0025,0.0006947163618711101,0.004908749666488337,0.9292559353652042
validation_2024,OUF,1440,104898,0.00034563166456553194,0.00047634330107409784,-6.182976314054893,0.000267721027157363,0.5682567827794619,0.005,1.5933415919844598e-13,1.965590227165964e-08,
validation_2024,OUF,1440,104898,0.00034563166456553194,0.00047634330107409784,-6.182976314054893,0.000267721027157363,0.5682567827794619,0.01,1.0000000000000001e-24,1.0000000000005004e-12,
validation_2024,MOUF,1440,104898,0.00044243022447330377,0.0005995932641073805,-5.977542087048415,0.00033152116971038245,0.5682567827794619,0.001,0.10792120370247048,0.3787020148559154,0.6292505151434061
validation_2024,MOUF,1440,104898,0.00044243022447330377,0.0005995932641073805,-5.977542087048415,0.00033152116971038245,0.5682567827794619,0.0025,0.000696169238585615,0.005707102062750486,0.9103641751255354
validation_2024,MOUF,1440,104898,0.00044243022447330377,0.0005995932641073805,-5.977542087048415,0.00033152116971038245,0.5682567827794619,0.005,1.7656483894637355e-14,3.198077856933266e-08,
validation_2024,MOUF,1440,104898,0.00044243022447330377,0.0005995932641073805,-5.977542087048415,0.00033152116971038245,0.5682567827794619,0.01,1.0000000000000001e-24,1.0000000000005004e-12,
test_2025,RandomWalk,5,104900,2.1714339642508385e-05,3.936134972444931e-05,-8.70146203033198,1.943830912520263e-05,0.2695614871306006,0.001,0.002366584530046049,0.00921522718759589,0.9995546125524666
test_2025,RandomWalk,5,104900,2.1714339642508385e-05,3.936134972444931e-05,-8.70146203033198,1.943830912520263e-05,0.2695614871306006,0.0025,2.18744174530452e-05,0.0005182269557590282,0.9545051521998581
test_2025,RandomWalk,5,104900,2.1714339642508385e-05,3.936134972444931e-05,-8.70146203033198,1.943830912520263e-05,0.2695614871306006,0.005,1.9065776930371784e-05,0.0005268070968419438,0.8333285667527829
test_2025,RandomWalk,5,104900,2.1714339642508385e-05,3.936134972444931e-05,-8.70146203033198,1.943830912520263e-05,0.2695614871306006,0.01,1.0000000000000001e-24,1.0000000000005004e-12,
test_2025,NestedOU_proxy,5,104900,2.209551832548098e-05,3.933572583450032e-05,-8.702313232374099,1.943482059414655e-05,0.37816015252621543,0.001,0.002395608936277393,0.009258214686052084,0.9995535792975816
test_2025,NestedOU_proxy,5,104900,2.209551832548098e-05,3.933572583450032e-05,-8.702313232374099,1.943482059414655e-05,0.37816015252621543,0.0025,2.082699583878825e-05,0.0004963427487752935,0.9545073189926321
test_2025,NestedOU_proxy,5,104900,2.209551832548098e-05,3.933572583450032e-05,-8.702313232374099,1.943482059414655e-05,0.37816015252621543,0.005,1.9065776930371784e-05,0.0005268070968419438,0.8333285667527829
test_2025,NestedOU_proxy,5,104900,2.209551832548098e-05,3.933572583450032e-05,-8.702313232374099,1.943482059414655e-05,0.37816015252621543,0.01,1.0000000000000001e-24,1.0000000000005004e-12,
test_2025,OUF,5,104900,2.1964881656857217e-05,3.932128414915653e-05,-8.702481772976409,1.9423822685695094e-05,0.3773307912297426,0.001,0.0023833309922817844,0.009232172036857915,0.9995543249454366
