period,model,horizon_minutes,nobs,MAE,RMSE,NLS,CRPS,direction_accuracy,threshold,Brier,event_log_score,AUC
test_2025,MOUF,360,104662,0.0001913792380374101,0.00026167553154619183,-6.718203663268134,0.00014777814057673856,0.535103475951157,0.005,2.974999754648308e-05,0.0007966839495283328,0.4999808903199916
test_2025,MOUF,360,104662,0.0001913792380374101,0.00026167553154619183,-6.718203663268134,0.00014777814057673856,0.535103475951157,0.01,1e-24,1.0000000000005006e-12,
test_2025,RandomWalk,1440,104439,0.0001832033333033087,0.00026939885280025843,-6.177580527086975,0.00021615034964615634,0.02404274265360641,0.001,0.07273068942524154,0.30398552144199315,0.9319536153868738
test_2025,RandomWalk,1440,104439,0.0001832033333033087,0.00026939885280025843,-6.177580527086975,0.00021615034964615634,0.02404274265360641,0.0025,0.0007237318978131615,0.00809578333821145,0.4887303823077753
test_2025,RandomWalk,1440,104439,0.0001832033333033087,0.00026939885280025843,-6.177580527086975,0.00021615034964615634,0.02404274265360641,0.005,5.087058536639668e-05,0.0007097357291316902,0.46847989837476217
test_2025,RandomWalk,1440,104439,0.0001832033333033087,0.00026939885280025843,-6.177580527086975,0.00021615034964615634,0.02404274265360641,0.01,1.6381551692268118e-16,4.1957760212238844e-11,
test_2025,NestedOU_proxy,1440,104439,0.00026851055085383847,0.0003689564987289085,-6.434499582755355,0.00020437796422185806,0.5837474506649815,0.001,0.031592944107019794,0.14727831908183903,0.5169271283160375
test_2025,NestedOU_proxy,1440,104439,0.00026851055085383847,0.0003689564987289085,-6.434499582755355,0.00020437796422185806,0.5837474506649815,0.0025,0.00010533150684825488,0.0018023587761452967,0.2596817467972714
test_2025,NestedOU_proxy,1440,104439,0.00026851055085383847,0.0003689564987289085,-6.434499582755355,0.00020437796422185806,0.5837474506649815,0.005,2.8724901617154514e-05,0.000793698364138125,0.5
test_2025,NestedOU_proxy,1440,104439,0.00026851055085383847,0.0003689564987289085,-6.434499582755355,0.00020437796422185806,0.5837474506649815,0.01,1.0000000000000001e-24,1.0000000000005004e-12,
test_2025,OUF,1440,104439,0.0002293918979640477,0.00031398067705669646,-6.469366048594852,0.00018656212412741492,0.5797068145041603,0.001,0.029750265909859887,0.13460955833848473,0.8220846850281559
test_2025,OUF,1440,104439,0.0002293918979640477,0.00031398067705669646,-6.469366048594852,0.00018656212412741492,0.5797068145041603,0.0025,0.00010657508271857277,0.001577859012244347,0.26567717818627534
test_2025,OUF,1440,104439,0.0002293918979640477,0.00031398067705669646,-6.469366048594852,0.00018656212412741492,0.5797068145041603,0.005,2.8724901617154514e-05,0.0007936983642086851,0.49998563713661953
test_2025,OUF,1440,104439,0.0002293918979640477,0.00031398067705669646,-6.469366048594852,0.00018656212412741492,0.5797068145041603,0.01,1.0000000000000001e-24,1.0000000000005004e-12,
test_2025,MOUF,1440,104439,0.0003055377392390291,0.00040316396211031584,-6.317942720271268,0.00022964678073494289,0.5797068145041603,0.001,0.03341387736305703,0.15979013578443443,0.556314349123005
test_2025,MOUF,1440,104439,0.0003055377392390291,0.00040316396211031584,-6.317942720271268,0.00022964678073494289,0.5797068145041603,0.0025,0.00010533996252861626,0.0014575432110627883,0.2071235683916191
test_2025,MOUF,1440,104439,0.0003055377392390291,0.00040316396211031584,-6.317942720271268,0.00022964678073494289,0.5797068145041603,0.005,2.8724901617154514e-05,0.0007936983641458139,0.49998563713661953
test_2025,MOUF,1440,104439,0.0003055377392390291,0.00040316396211031584,-6.317942720271268,0.00022964678073494289,0.5797068145041603,0.01,1.0000000000000001e-24,1.0000000000005004e-12,
