slice,first_parameter,first_value,second_parameter,second_value,mean_loglik,nobs,nuisance_parameters,relative_mean_loglik
kappa_lambda,kappa,0.012269225538314938,lambda,1.543121212238039,8.14571166094766,40000,held_at_MOU-UQML_estimate,-0.13976521220799043
kappa_lambda,kappa,0.012269225538314938,lambda,1.861359484724696,8.148805293898295,40000,held_at_MOU-UQML_estimate,-0.13667157925735474
kappa_lambda,kappa,0.012269225538314938,lambda,2.245228115521578,8.151733593376035,40000,held_at_MOU-UQML_estimate,-0.13374327977961542
kappa_lambda,kappa,0.012269225538314938,lambda,2.7082620697925917,8.154451469156353,40000,held_at_MOU-UQML_estimate,-0.1310254039992973
kappa_lambda,kappa,0.012269225538314938,lambda,3.2667876319432994,8.156905313030721,40000,held_at_MOU-UQML_estimate,-0.12857156012492865
kappa_lambda,kappa,0.012269225538314938,lambda,3.940498060084341,8.159031115047828,40000,held_at_MOU-UQML_estimate,-0.12644575810782221
kappa_lambda,kappa,0.012269225538314938,lambda,4.753147957858425,8.160752210160727,40000,held_at_MOU-UQML_estimate,-0.12472466299492346
kappa_lambda,kappa,0.012269225538314938,lambda,5.733390846742393,8.161976579523449,40000,held_at_MOU-UQML_estimate,-0.12350029363220116
kappa_lambda,kappa,0.012269225538314938,lambda,6.915789471094045,8.162593615053451,40000,held_at_MOU-UQML_estimate,-0.12288325810219902
kappa_lambda,kappa,0.012269225538314938,lambda,8.34203445866076,8.1624702378352,40000,held_at_MOU-UQML_estimate,-0.12300663532045064
kappa_lambda,kappa,0.014799510981283895,lambda,0.4153254399204202,8.18881828348027,40000,held_at_MOU-UQML_estimate,-0.09665858967538021
kappa_lambda,kappa,0.014799510981283895,lambda,0.500978108986087,8.190980743060168,40000,held_at_MOU-UQML_estimate,-0.0944961300954823
kappa_lambda,kappa,0.014799510981283895,lambda,0.604294949356739,8.193216544697098,40000,held_at_MOU-UQML_estimate,-0.09226032845855237
kappa_lambda,kappa,0.014799510981283895,lambda,0.7289188474864182,8.195515541408046,40000,held_at_MOU-UQML_estimate,-0.08996133174760423
kappa_lambda,kappa,0.014799510981283895,lambda,0.879243963211196,8.197863169327576,40000,held_at_MOU-UQML_estimate,-0.08761370382807421
kappa_lambda,kappa,0.014799510981283895,lambda,1.0605706650461326,8.200240015456417,40000,held_at_MOU-UQML_estimate,-0.08523685769923262
kappa_lambda,kappa,0.014799510981283895,lambda,1.279292417827172,8.20262140501026,40000,held_at_MOU-UQML_estimate,-0.08285546814538947
kappa_lambda,kappa,0.014799510981283895,lambda,1.543121212238039,8.204976959047256,40000,held_at_MOU-UQML_estimate,-0.08049991410839397
kappa_lambda,kappa,0.014799510981283895,lambda,1.861359484724696,8.207270058670145,40000,held_at_MOU-UQML_estimate,-0.0782068144855046
kappa_lambda,kappa,0.014799510981283895,lambda,2.245228115521578,8.209457144600938,40000,held_at_MOU-UQML_estimate,-0.07601972855471217
kappa_lambda,kappa,0.014799510981283895,lambda,2.7082620697925917,8.2114867792801,40000,held_at_MOU-UQML_estimate,-0.07399009387554933
kappa_lambda,kappa,0.014799510981283895,lambda,3.2667876319432994,8.213298400241746,40000,held_at_MOU-UQML_estimate,-0.07217847291390456
kappa_lambda,kappa,0.014799510981283895,lambda,3.940498060084341,8.214820695260732,40000,held_at_MOU-UQML_estimate,-0.07065617789491796
kappa_lambda,kappa,0.014799510981283895,lambda,4.753147957858425,8.215969528978027,40000,held_at_MOU-UQML_estimate,-0.06950734417762305
kappa_lambda,kappa,0.014799510981283895,lambda,5.733390846742393,8.216645345594435,40000,held_at_MOU-UQML_estimate,-0.06883152756121547
kappa_lambda,kappa,0.014799510981283895,lambda,6.915789471094045,8.216729961896245,40000,held_at_MOU-UQML_estimate,-0.0687469112594048
kappa_lambda,kappa,0.014799510981283895,lambda,8.34203445866076,8.21608264911647,40000,held_at_MOU-UQML_estimate,-0.06939422403918094
kappa_lambda,kappa,0.017851617822262616,lambda,0.4153254399204202,8.239580729218552,40000,held_at_MOU-UQML_estimate,-0.04589614393709773
kappa_lambda,kappa,0.017851617822262616,lambda,0.500978108986087,8.240822854676642,40000,held_at_MOU-UQML_estimate,-0.04465401847900807
kappa_lambda,kappa,0.017851617822262616,lambda,0.604294949356739,8.242069954407192,40000,held_at_MOU-UQML_estimate,-0.04340691874845781
kappa_lambda,kappa,0.017851617822262616,lambda,0.7289188474864182,8.24331794568442,40000,held_at_MOU-UQML_estimate,-0.04215892747122929
kappa_lambda,kappa,0.017851617822262616,lambda,0.879243963211196,8.244560794507688,40000,held_at_MOU-UQML_estimate,-0.040916078647962095
kappa_lambda,kappa,0.017851617822262616,lambda,1.0605706650461326,8.245789835005086,40000,held_at_MOU-UQML_estimate,-0.03968703815056429
kappa_lambda,kappa,0.017851617822262616,lambda,1.279292417827172,8.246992915340222,40000,held_at_MOU-UQML_estimate,-0.03848395781542813
kappa_lambda,kappa,0.017851617822262616,lambda,1.543121212238039,8.248153351565925,40000,held_at_MOU-UQML_estimate,-0.03732352158972496
kappa_lambda,kappa,0.017851617822262616,lambda,1.861359484724696,8.249248676693744,40000,held_at_MOU-UQML_estimate,-0.03622819646190578
kappa_lambda,kappa,0.017851617822262616,lambda,2.245228115521578,8.250249178263518,40000,held_at_MOU-UQML_estimate,-0.03522769489213218
kappa_lambda,kappa,0.017851617822262616,lambda,2.7082620697925917,8.251116221332166,40000,held_at_MOU-UQML_estimate,-0.03436065182348358
kappa_lambda,kappa,0.017851617822262616,lambda,3.2667876319432994,8.251800351905338,40000,held_at_MOU-UQML_estimate,-0.033676521250312064
kappa_lambda,kappa,0.017851617822262616,lambda,3.940498060084341,8.252239165589057,40000,held_at_MOU-UQML_estimate,-0.0332377075665935
kappa_lambda,kappa,0.017851617822262616,lambda,4.753147957858425,8.252354906251957,40000,held_at_MOU-UQML_estimate,-0.03312196690369262
kappa_lambda,kappa,0.017851617822262616,lambda,5.733390846742393,8.25205173057788,40000,held_at_MOU-UQML_estimate,-0.03342514257776941
kappa_lambda,kappa,0.017851617822262616,lambda,6.915789471094045,8.251212539506687,40000,held_at_MOU-UQML_estimate,-0.034264333648962975
kappa_lambda,kappa,0.017851617822262616,lambda,8.34203445866076,8.249695240772507,40000,held_at_MOU-UQML_estimate,-0.03578163238314325
kappa_lambda,kappa,0.02153316141831586,lambda,0.4153254399204202,8.270252878735285,40000,held_at_MOU-UQML_estimate,-0.015223994420365372
kappa_lambda,kappa,0.02153316141831586,lambda,0.500978108986087,8.271171515722694,40000,held_at_MOU-UQML_estimate,-0.014305357432956356
kappa_lambda,kappa,0.02153316141831586,lambda,0.604294949356739,8.272055922619764,40000,held_at_MOU-UQML_estimate,-0.013420950535886433
kappa_lambda,kappa,0.02153316141831586,lambda,0.7289188474864182,8.272897172773066,40000,held_at_MOU-UQML_estimate,-0.012579700382584491
kappa_lambda,kappa,0.02153316141831586,lambda,0.879243963211196,8.27368434157033,40000,held_at_MOU-UQML_estimate,-0.011792531585319566
kappa_lambda,kappa,0.02153316141831586,lambda,1.0605706650461326,8.27440404530262,40000,held_at_MOU-UQML_estimate,-0.01107282785302921
kappa_lambda,kappa,0.02153316141831586,lambda,1.279292417827172,8.275039871846927,40000,held_at_MOU-UQML_estimate,-0.010437001308723381
kappa_lambda,kappa,0.02153316141831586,lambda,1.543121212238039,8.2755716768085,40000,held_at_MOU-UQML_estimate,-0.009905196347149925
kappa_lambda,kappa,0.02153316141831586,lambda,1.861359484724696,8.275974712382729,40000,held_at_MOU-UQML_estimate,-0.009502160772921542
kappa_lambda,kappa,0.02153316141831586,lambda,2.245228115521578,8.276218548723337,40000,held_at_MOU-UQML_estimate,-0.009258324432313003
kappa_lambda,kappa,0.02153316141831586,lambda,2.7082620697925917,8.27626573921526,40000,held_at_MOU-UQML_estimate,-0.00921113394038997
